question_id,question,answer,job_role,question_type
779,"An analyst can review 20 logs per hour. A junior analyst can review 10 logs per hour. If they work together for 3 hours, how many logs will they review? (A) 60 (B) 90 (C) 100 (D) 120",(B),Cybersecurity Engineer,Aptitude
780,"A firewall blocks 99 out of every 100 malicious packets. If 1,000,000 malicious packets are sent, how many get through? (A) 100 (B) 1,000 (C) 10,000 (D) 990,000",(C),Cybersecurity Engineer,Aptitude
781,"In a certain code, 'VIRUS' is written as 'WJTVT'. How is 'PATCH' written? (A) QBUDI (B) QBUCI (C) PATCI (D) QBUDH",(B),Cybersecurity Engineer,Aptitude
782,An analyst is facing South. He turns 135 degrees anti-clockwise. Which direction is he facing now? (A) North (B) West (C) North-East (D) South-West,(C),Cybersecurity Engineer,Aptitude
783,"Find the missing characters: 2Z5, 7Y7, 14X9, 23W11, 34V13, ? (A) 47U15 (B) 45U15 (C) 47V15 (D) 47U14",(A),Cybersecurity Engineer,Aptitude
784,SIEM : Logs :: IDS : ? (A) Packets (B) Firewall (C) Antivirus (D) Server,(A),Cybersecurity Engineer,Aptitude
785,How many words can be formed from the letters of the word 'HACKER' such that the vowels are always together? (A) 120 (B) 240 (C) 720 (D) 144,(B),Cybersecurity Engineer,Aptitude
786,The security policy was _______ to prevent data leaks. (A) implemented (B) implicated (C) imputed (D) implanted,(A),Cybersecurity Engineer,Aptitude
787,Find the correctly spelt word. (A) Sanatize (B) Sanitize (C) Sanytize (D) Sannitize,(B),Cybersecurity Engineer,Aptitude
788,One-word substitute: 'The unauthorized examination of network traffic'. (A) Phishing (B) Eavesdropping (C) Spoofing (D) Hacking,(B),Cybersecurity Engineer,Aptitude
789,The phrase 'security through obscurity' is generally considered: (A) The best security practice (B) A reliable security strategy (C) A poor security practice (D) A type of encryption,(C),Cybersecurity Engineer,Aptitude
790,"The server is down; _______, we cannot process any requests. (A) however (B) although (C) therefore (D) otherwise",(C),Cybersecurity Engineer,Aptitude
791,"A server has 4 hard drives of 500 GB each. If it is configured in RAID 5, what is the total usable storage? (A) 500 GB (B) 1000 GB (C) 1500 GB (D) 2000 GB",(C),Cybersecurity Engineer,Aptitude
792,"The average of five numbers is 30. If one number is removed, the average becomes 25. What is the removed number? (A) 25 (B) 30 (C) 40 (D) 50",(D),Cybersecurity Engineer,Aptitude
793,"The ages of a security architect and a junior analyst are in the ratio 5:2. If the architect is 21 years older than the analyst, what is the analyst's age? (A) 14 (B) 16 (C) 18 (D) 20",(A),Cybersecurity Engineer,Aptitude
794,A company's security score improved from 600 to 750. What is the percentage improvement? (A) 20% (B) 25% (C) 30% (D) 150%,(B),Cybersecurity Engineer,Aptitude
795,An analyst has to complete 5 tasks. Task A must be done before Task C. In how many different sequences can the tasks be completed? (A) 24 (B) 60 (C) 100 (D) 120,(B),Cybersecurity Engineer,Aptitude
796,A network has a latency of 50ms. How many round trips can be made per second? (A) 10 (B) 20 (C) 50 (D) 1000,(B),Cybersecurity Engineer,Aptitude
797,"Find the next term in the series: 1, 2, 6, 24, 120, ? (A) 500 (B) 600 (C) 720 (D) 840",(C),Cybersecurity Engineer,Aptitude
798,"If Rule A denies Port 80 and Rule B allows all traffic from IP X, what happens to traffic from IP X to Port 80 if Rule A has higher priority? (A) It is allowed (B) It is denied (C) It is logged (D) The rules conflict",(B),Cybersecurity Engineer,Aptitude
799,Which word does not belong with the others? (A) RSA (B) AES (C) SHA-256 (D) DES,(C),Cybersecurity Engineer,Aptitude
800,A login system locks out after 3 failed attempts. An attacker has a list of 10 possible passwords. What is the minimum number of attempts they can make before being locked out? (A) 1 (B) 2 (C) 3 (D) 4,(C),Cybersecurity Engineer,Aptitude
801,**Data Set:** A table shows incident response times. | Phase | Time (hours) | |---|---| | Detection | 2 | | Containment | 6 | | Eradication | 8 | | Recovery | 4 | --- What was the total time for the incident response from detection to recovery? (A) 18 hours (B) 20 hours (C) 22 hours (D) 24 hours,(B),Cybersecurity Engineer,Aptitude
802,**Using the same data set:** What percentage of the total time was spent on Eradication? (A) 30% (B) 35% (C) 40% (D) 50%,(C),Cybersecurity Engineer,Aptitude
803,**Using the same data set:** What is the ratio of the time spent on Containment to the time spent on Recovery? (A) 2:3 (B) 3:2 (C) 1:2 (D) 2:1,(B),Cybersecurity Engineer,Aptitude
804,"**Using the same data set:** If the analyst's hourly rate is $60, what was the cost of the Detection and Containment phases combined? (A) $360 (B) $420 (C) $480 (D) $600",(C),Cybersecurity Engineer,Aptitude
805,**Using the same data set:** The Recovery phase took what fraction of the time of the Eradication phase? (A) 1/4 (B) 1/3 (C) 1/2 (D) 2/3,(C),Cybersecurity Engineer,Aptitude
806,A password policy requires an 8-character password using only numbers (0-9). How many possible passwords are there? (A) 80 (B) 10^8 (C) 8^10 (D) 8!,(B),Cybersecurity Engineer,Aptitude
807,A security team has 7 members. A subcommittee of 3 members is to be formed. How many different subcommittees are possible? (A) 21 (B) 35 (C) 42 (D) 210,(B),Cybersecurity Engineer,Aptitude
808,A server has a 99.95% uptime. How many hours of downtime is this in a 365-day year? (1 year = 8760 hours) (A) 4.38 (B) 8.76 (C) 0.438 (D) 0.876,(A),Cybersecurity Engineer,Aptitude
809,"A phishing campaign targeted 2000 employees. 10% of them clicked the link, and of those, 20% entered their credentials. How many employees' credentials were compromised? (A) 20 (B) 40 (C) 60 (D) 200",(B),Cybersecurity Engineer,Aptitude
810,The simple interest on a sum of money at 6% per annum for 5 years is $150. What is the sum? (A) $400 (B) $500 (C) $600 (D) $750,(B),Cybersecurity Engineer,Aptitude
811,"Six security analysts (A, B, C, D, E, F) are in a meeting. A is to the left of B. C is between D and E. F is at the far right. E is second from the right. Who is at the far left? (A) A (B) B (C) C (D) D",(D),Cybersecurity Engineer,Aptitude
812,Analogy: Malware : Antivirus :: Spam : ? (A) Email (B) Server (C) Filter (D) Network,(C),Cybersecurity Engineer,Aptitude
813,"Pointing to a man, a woman said, 'His brother's father is the only son of my grandfather.' How is the woman related to the man? (A) Mother (B) Aunt (C) Sister (D) Daughter",(C),Cybersecurity Engineer,Aptitude
814,Statements: All VPNs encrypt traffic. Some encryption is weak. Conclusions: I. Some VPNs use weak encryption. II. All traffic from a VPN is weak. (A) Only I follows (B) Only II follows (C) Both follow (D) Neither follows,(D),Cybersecurity Engineer,Aptitude
815,Find the odd one out. (A) AES (B) RSA (C) SQL (D) DES,(C),Cybersecurity Engineer,Aptitude
816,Arrange the sentences to form a meaningful paragraph: P: This process helps identify potential weaknesses. Q: A penetration test simulates a real-world attack on a system. R: The findings are then compiled into a report for remediation. S: Experts try to breach the system's defenses using various tools. (A) QSRP (B) QPSR (C) PQRS (D) PRQS,(A),Cybersecurity Engineer,Aptitude
817,One-word substitute: 'The practice of sending fraudulent emails that appear to be from a reputable source'. (A) Spamming (B) Spoofing (C) Phishing (D) Pharming,(C),Cybersecurity Engineer,Aptitude
818,Analogy: Proactive : Reactive :: Prevention : ? (A) Detection (B) Cure (C) Analysis (D) Attack,(B),Cybersecurity Engineer,Aptitude
819,Identify the part of the sentence with an error: 'The primary concern for the security team (A) / are the increasing number (B) / of phishing attacks (C). / No error (D)',(B),Cybersecurity Engineer,Aptitude
820,Choose the best synonym for 'CORRELATE'. (A) Separate (B) Disconnect (C) Associate (D) Ignore,(C),Cybersecurity Engineer,Aptitude
821,Find the square root of 625. (A) 15 (B) 25 (C) 35 (D) 45,(B),Cybersecurity Engineer,Aptitude
822,"If 10x - 5 = 5x + 10, what is the value of x? (A) 1 (B) 2 (C) 3 (D) 4",(C),Cybersecurity Engineer,Aptitude
823,"The ratio of successful to failed login attempts is 5:1. If there were 300 attempts in total, how many were successful? (A) 50 (B) 100 (C) 200 (D) 250",(D),Cybersecurity Engineer,Aptitude
824,A security appliance costs $800 plus a 15% tax. What is the total cost? (A) $815 (B) $900 (C) $920 (D) $950,(C),Cybersecurity Engineer,Aptitude
825,Evaluate: (3.5 + 1.5) * 4 = ? (A) 16 (B) 18 (C) 20 (D) 22,(C),Cybersecurity Engineer,Aptitude
826,"An analyst must investigate alerts from three systems: A, B, and C. The alert from A is the highest priority. How many different sequences can the alerts be investigated in? (A) 3 (B) 4 (C) 6 (D) 9",(C),Cybersecurity Engineer,Aptitude
827,"A company has 4 departments: HR, Finance, IT, and Sales. A new security policy must be rolled out. IT must be first, and HR must be last. In how many ways can the rollout be scheduled? (A) 1 (B) 2 (C) 4 (D) 6",(B),Cybersecurity Engineer,Aptitude
828,"A log file grows by 2 GB every day. If the disk has 50 GB of free space, how many days until the disk is full? (A) 20 (B) 25 (C) 30 (D) 50",(B),Cybersecurity Engineer,Aptitude
829,A password cracker can try 1000 passwords per second. A password space contains 1 million possibilities. What is the maximum time it will take to crack the password? (A) 10 seconds (B) 100 seconds (C) 1000 seconds (D) 1 minute,(C),Cybersecurity Engineer,Aptitude
830,"An analyst works an 8-hour shift. 25% of the time is spent in meetings, and 10% on breaks. How many hours are spent on active analysis? (A) 4.8 (B) 5.0 (C) 5.2 (D) 5.6",(C),Cybersecurity Engineer,Aptitude
831,"Find the missing number in the series: 4, 9, 19, 39, 79, ? (A) 159 (B) 158 (C) 149 (D) 160",(A),Cybersecurity Engineer,Aptitude
832,"If 'PACKET' is written as 'QBELFU', how is 'ROUTER' written? (A) SPVUFS (B) SPVTER (C) SPVTFS (D) SQVUFS",(C),Cybersecurity Engineer,Aptitude
833,Which word does NOT belong with the others? (A) Confidentiality (B) Integrity (C) Availability (D) Auditing,(D),Cybersecurity Engineer,Aptitude
834,"An analyst starts at her desk, faces North, turns 90 degrees left, walks 10m, and turns 90 degrees right. Which direction is she facing now? (A) North (B) South (C) East (D) West",(A),Cybersecurity Engineer,Aptitude
835,Statements: All log files contain timestamps. This file is a log file. Conclusions: I. This file contains timestamps. II. Some files with timestamps are log files. (A) Only I follows (B) Only II follows (C) Both follow (D) Neither follows,(A),Cybersecurity Engineer,Aptitude
836,Choose the best antonym for 'COMPLIANT' in the context of a security audit. (A) Conforming (B) Obedient (C) Non-conforming (D) Agreeable,(C),Cybersecurity Engineer,Aptitude
837,One-word substitute: 'The art of breaking ciphers'. (A) Cryptography (B) Steganography (C) Cryptanalysis (D) Encryption,(C),Cybersecurity Engineer,Aptitude
838,The phrase 'chain of custody' refers to: (A) The company's organizational chart (B) The chronological documentation of evidence (C) The series of approvals for a project (D) The physical security of a building,(B),Cybersecurity Engineer,Aptitude
839,Find the correctly spelt word. (A) Forensiks (B) Forensics (C) Forrensics (D) Forensix,(B),Cybersecurity Engineer,Aptitude
840,The analyst had to _______ a large volume of data to find the evidence. (A) sift through (B) shift through (C) soft through (D) saft through,(A),Cybersecurity Engineer,Aptitude
841,A hexadecimal color code is #FF0000. What is this in decimal for the Red component? (FF) (A) 15 (B) 16 (C) 255 (D) 256,(C),Cybersecurity Engineer,Aptitude
842,"A project's budget for security is $20,000. If 60% is spent on software and 25% on training, how much money is left? (A) $1000 (B) $2000 (C) $3000 (D) $4000",(C),Cybersecurity Engineer,Aptitude
843,"The average of three vulnerability scores is 8.0. If two of the scores are 7.5 and 8.5, what is the third score? (A) 7.0 (B) 7.5 (C) 8.0 (D) 8.5",(C),Cybersecurity Engineer,Aptitude
844,"If a clock shows 9:30, what is the angle between the hour and minute hands? (A) 90° (B) 100° (C) 105° (D) 115°",(C),Cybersecurity Engineer,Aptitude
845,A SOC team has 4 analysts. In how many different ways can they be scheduled for the first and last shift of the day? (A) 8 (B) 12 (C) 16 (D) 24,(B),Cybersecurity Engineer,Aptitude
846,A security scan starts at 2:00 PM and finishes at 6:30 PM. How long did the scan take? (A) 4 hours 30 minutes (B) 4 hours (C) 3 hours 30 minutes (D) 5 hours,(A),Cybersecurity Engineer,Aptitude
847,"An analyst works for 5 consecutive days, then has 2 days off. If their last working day was a Friday, what will be their first day back at work? (A) Sunday (B) Monday (C) Tuesday (D) Wednesday",(B),Cybersecurity Engineer,Aptitude
848,"The time to crack a password increases exponentially with length. If a 4-character password takes 1 second, and a 5-character password takes 1 minute (60s), approximately how long will a 6-character password take? (A) 1 hour (B) 10 minutes (C) 30 minutes (D) 6 minutes",(A),Cybersecurity Engineer,Aptitude
849,"If Rule 1 says 'Allow Port 443' and Rule 2 says 'Deny all from IP range X', and they are processed in order, what happens to traffic from IP range X to Port 443? (A) Allowed by Rule 1 (B) Denied by Rule 2 (C) Depends on which rule is first (D) The traffic is dropped",(C),Cybersecurity Engineer,Aptitude
850,"Find the next term in the series: 3, 4, 6, 9, 13, ? (A) 16 (B) 17 (C) 18 (D) 19",(C),Cybersecurity Engineer,Aptitude
851,**Data Set:** A table shows social engineering attack stats. | Type | Attempts | Successes | |---|---|---| | Phishing | 500 | 50 | | Vishing | 100 | 20 | | SMiShing | 200 | 30 | | Baiting | 50 | 5 | --- Which attack type had the highest success rate (Successes/Attempts)? (A) Phishing (B) Vishing (C) SMiShing (D) Baiting,(B),Cybersecurity Engineer,Aptitude
852,**Using the same data set:** What was the overall success rate for all attack types combined? (A) 10% (B) 12.4% (C) 14.2% (D) 15%,(B),Cybersecurity Engineer,Aptitude
853,**Using the same data set:** How many total attempts were made across all types? (A) 800 (B) 850 (C) 900 (D) 950,(B),Cybersecurity Engineer,Aptitude
854,**Using the same data set:** The number of successful Phishing attacks was how many times greater than the number of successful Baiting attacks? (A) 5 (B) 8 (C) 10 (D) 12,(C),Cybersecurity Engineer,Aptitude
855,**Using the same data set:** What was the success rate for SMiShing attacks? (A) 10% (B) 15% (C) 20% (D) 25%,(B),Cybersecurity Engineer,Aptitude
856,An analyst reviews 15 alerts per hour. A new AI tool helps them review 20% faster. How many alerts can they review in an 8-hour shift with the tool? (A) 120 (B) 132 (C) 144 (D) 150,(C),Cybersecurity Engineer,Aptitude
857,"From a group of 5 senior analysts and 4 junior analysts, a team of 3 must be selected with at least one senior analyst. How many ways can this be done? (A) 80 (B) 84 (C) 100 (D) 120",(A),Cybersecurity Engineer,Aptitude
858,A firewall drops 1 out of every 500 packets due to a minor glitch. What is its success rate for packet processing? (A) 99% (B) 99.5% (C) 99.8% (D) 99.9%,(C),Cybersecurity Engineer,Aptitude
859,A company has 4 departments. A security policy needs to be rolled out to all of them. In how many different orders can the rollout occur? (A) 4 (B) 12 (C) 16 (D) 24,(D),Cybersecurity Engineer,Aptitude
860,A square network diagram has an area of 625 sq. cm. What is the length of its side? (A) 15 cm (B) 20 cm (C) 25 cm (D) 35 cm,(C),Cybersecurity Engineer,Aptitude
861,"If 'ACCESS' means 'DENY' and 'ENCRYPT' means 'DECRYPT', what does 'ALLOW' mean? (A) PERMIT (B) BLOCK (C) GRANT (D) OPEN",(B),Cybersecurity Engineer,Aptitude
862,"Statement: To access the server, you need a password. You do not have the password. Conclusion: You cannot access the server. (A) True (B) False (C) Cannot be determined (D) Irrelevant",(A),Cybersecurity Engineer,Aptitude
863,"A CISO, a manager, and an analyst are sitting in a row. The analyst is to the right of the manager. The CISO is to the left of the manager. Who is in the middle? (A) Analyst (B) Manager (C) CISO (D) Nobody",(B),Cybersecurity Engineer,Aptitude
864,Statements: All hackers use computers. Some programmers are hackers. Conclusions: I. Some programmers use computers. II. All programmers use computers. (A) Only I follows (B) Only II follows (C) Both follow (D) Neither follows,(A),Cybersecurity Engineer,Aptitude
865,Find the odd one out. (A) Pen Test (B) Red Team (C) Vulnerability Scan (D) Blue Team,(D),Cybersecurity Engineer,Aptitude
866,Find the part of the sentence with an error: 'The criteria for selecting a new firewall (A) / is based on performance (B) / and ease of use (C). / No error (D)',(B),Cybersecurity Engineer,Aptitude
867,Choose the best synonym for 'ROBUST'. (A) Weak (B) Sturdy (C) Fragile (D) Delicate,(B),Cybersecurity Engineer,Aptitude
868,Choose the best antonym for 'EXPLICIT' in the context of a firewall rule. (A) Stated (B) Clear (C) Specific (D) Implicit,(D),Cybersecurity Engineer,Aptitude
869,"One-word substitute: 'A flaw or weakness in a system's design, implementation, or operation'. (A) Bug (B) Feature (C) Vulnerability (D) Threat",(C),Cybersecurity Engineer,Aptitude
870,The phrase 'low-hanging fruit' in security refers to: (A) The most difficult vulnerabilities to fix (B) The most common attack vectors (C) Easy-to-exploit vulnerabilities that are often overlooked (D) Physical security threats,(C),Cybersecurity Engineer,Aptitude
871,Calculate: 10 + 10 * 10 - 10 / 10 = ? (A) 19 (B) 20 (C) 100 (D) 109,(D),Cybersecurity Engineer,Aptitude
872,"What is the average of 2, 4, 6, 8, 10, and 12? (A) 6 (B) 7 (C) 8 (D) 9",(B),Cybersecurity Engineer,Aptitude
873,"An annual subscription for a threat intelligence feed is $12,000. What is the quarterly cost? (A) $2,000 (B) $3,000 (C) $4,000 (D) $6,000",(B),Cybersecurity Engineer,Aptitude
874,Simplify the ratio 750:1000. (A) 1:2 (B) 2:3 (C) 3:4 (D) 4:5,(C),Cybersecurity Engineer,Aptitude
875,"If 30 out of 50 alerts are false positives, what percentage are true positives? (A) 30% (B) 40% (C) 50% (D) 60%",(B),Cybersecurity Engineer,Aptitude
876,"A team needs to patch 3 servers: A, B, C. Server A must be patched before server C. In how many different orders can they patch the servers? (A) 2 (B) 3 (C) 4 (D) 6",(B),Cybersecurity Engineer,Aptitude
877,"A password has 2 characters. The first is a letter (A-Z, 26 options) and the second is a digit (0-9, 10 options). How many possible passwords are there? (A) 36 (B) 62 (C) 260 (D) 520",(C),Cybersecurity Engineer,Aptitude
878,"The number of security incidents was 20 last month and 30 this month. If this trend continues, how many incidents are expected next month? (A) 35 (B) 40 (C) 45 (D) 50",(C),Cybersecurity Engineer,Aptitude
879,A company has 3 branches. Each branch has 2 security guards who work 8-hour shifts. How many total guard-hours are worked per day across all branches? (A) 24 (B) 32 (C) 48 (D) 64,(C),Cybersecurity Engineer,Aptitude
880,"Analyst A can write a report in 2 hours. Analyst B can write it in 3 hours. If they work together, how long will it take? (A) 1 hour (B) 1.2 hours (C) 1.5 hours (D) 2.5 hours",(B),Cybersecurity Engineer,Aptitude
881,"If 'LOGS' is coded as 'NQUI', how is 'FILE' coded? (A) GKNJ (B) HKGN (C) GKMJ (D) HJLM",(C),Cybersecurity Engineer,Aptitude
882,"A security guard is standing at a central point. He walks 30m east, then 40m north. How far is he from his starting point in a straight line? (A) 40m (B) 50m (C) 60m (D) 70m",(B),Cybersecurity Engineer,Aptitude
883,"Find the next pair in the series: A1, B2, C3, D4, ? (A) E5 (B) F5 (C) E6 (D) F6",(A),Cybersecurity Engineer,Aptitude
884,Firewall : Network :: Antivirus : ? (A) Computer (B) Server (C) Endpoint (D) Traffic,(C),Cybersecurity Engineer,Aptitude
885,"If a system is 'patched', it means: (A) It has been compromised (B) It has been updated to fix a vulnerability (C) It has been taken offline (D) It has been backed up",(B),Cybersecurity Engineer,Aptitude
886,The analyst found no _______ evidence of a breach. (A) conclusive (B) exclusive (C) illusive (D) collusive,(A),Cybersecurity Engineer,Aptitude
887,Find the correctly spelt word. (A) Confidenciality (B) Confedentiality (C) Confidantiality (D) Confidentiality,(D),Cybersecurity Engineer,Aptitude
888,One-word substitute: 'The process of converting data into a code to prevent unauthorized access'. (A) Decryption (B) Hashing (C) Encryption (D) Obfuscation,(C),Cybersecurity Engineer,Aptitude
889,The phrase 'to cover your tracks' means: (A) To document your work (B) To create a backup (C) To conceal the evidence of your actions (D) To work quickly,(C),Cybersecurity Engineer,Aptitude
890,"_______ a vulnerability is found, it must be reported immediately. (A) However (B) Nevertheless (C) Whenever (D) Whatever",(C),Cybersecurity Engineer,Aptitude
891,A 256-bit encryption key has how many possible values? (A) 256 (B) 2*256 (C) 256! (D) 2^256,(D),Cybersecurity Engineer,Aptitude
892,"The average of two numbers is 10. If one number is 7, what is the other number? (A) 3 (B) 10 (C) 13 (D) 17",(C),Cybersecurity Engineer,Aptitude
893,"If x=y and y=z, then which is true? (A) x > z (B) z > x (C) x = z (D) x is not equal to z",(C),Cybersecurity Engineer,Aptitude
894,"The price of a security camera was reduced by 25%. If the new price is $150, what was the original price? (A) $175 (B) $187.50 (C) $200 (D) $225",(C),Cybersecurity Engineer,Aptitude
895,"A team has a weekly meeting every Wednesday. If the first day of the month is a Monday, what are the dates of the meetings that month? (A) 3, 10, 17, 24 (B) 1, 8, 15, 22, 29 (C) 2, 9, 16, 23, 30 (D) 4, 11, 18, 25",(A),Cybersecurity Engineer,Aptitude
896,An analyst gets an alert every 15 minutes. How many alerts do they get in a 10-hour shift? (A) 150 (B) 60 (C) 40 (D) 30,(C),Cybersecurity Engineer,Aptitude
897,"Find the next term in the series: 1, 3, 6, 10, 15, ? (A) 20 (B) 21 (C) 22 (D) 23",(B),Cybersecurity Engineer,Aptitude
898,"A system has two authentication factors: a password and a token. To log in, you need the password AND the token. If an attacker has the password but not the token, can they log in? (A) Yes (B) No (C) Only sometimes (D) Need more information",(B),Cybersecurity Engineer,Aptitude
899,Which of these is a social engineering technique? (A) Brute Force (B) SQL Injection (C) Phishing (D) Cross-Site Scripting,(C),Cybersecurity Engineer,Aptitude
900,"If a file's permission is '755', what does the '7' represent for the owner? (A) Read only (B) Read, Write (C) Read, Execute (D) Read, Write, Execute",(D),Cybersecurity Engineer,Aptitude
901,What is the difference between supervised and unsupervised learning?,"Supervised learning uses labeled data to train a model, meaning the desired output is known. Unsupervised learning works with unlabeled data to find hidden patterns or structures, like in clustering.",Data Scientist,Technical
902,Explain the bias-variance tradeoff.,"It's a fundamental concept in machine learning. High bias models are too simple and underfit the data, while high variance models are too complex and overfit the data. The goal is to find a balance that minimizes total error on unseen data.",Data Scientist,Technical
903,What is a p-value and what does it represent?,"The p-value is a measure of statistical significance. It represents the probability of observing the data, or something more extreme, if the null hypothesis were true. A small p-value (typically < 0.05) suggests that you can reject the null hypothesis.",Data Scientist,Technical
904,What are Type I and Type II errors?,"A Type I error is a ""false positive"" – rejecting a true null hypothesis. A Type II error is a ""false negative"" – failing to reject a false null hypothesis.",Data Scientist,Technical
905,Explain dimensionality reduction and name two common techniques.,Dimensionality reduction is the process of reducing the number of random variables under consideration. Common techniques include Principal Component Analysis (PCA) and t-Distributed Stochastic Neighbor Embedding (t-SNE).,Data Scientist,Technical
906,What is the difference between correlation and causation?,Correlation is a statistical measure that indicates the extent to which two or more variables fluctuate together. Causation indicates that one event is the result of the occurrence of the other event. Correlation does not imply causation.,Data Scientist,Technical
907,What are the assumptions of linear regression?,"The main assumptions are: 1. Linearity: The relationship between X and the mean of Y is linear. 2. Homoscedasticity: The variance of residual is the same for any value of X. 3. Independence: Observations are independent of each other. 4. Normality: For any fixed value of X, Y is normally distributed.",Data Scientist,Technical
908,What is overfitting and how can you prevent it?,"Overfitting occurs when a model learns the training data too well, including its noise, and performs poorly on new, unseen data. Prevention methods include cross-validation, regularization (L1/L2), simplifying the model, and getting more training data.",Data Scientist,Technical
909,Explain what a confusion matrix is.,"A confusion matrix is a table used to describe the performance of a classification model. It shows the number of true positives (TP), true negatives (TN), false positives (FP), and false negatives (FN).",Data Scientist,Technical
910,What is the difference between a list and a tuple in Python?,"A list is mutable, meaning its elements can be changed after creation. A tuple is immutable, meaning its elements cannot be changed. Tuples are generally faster than lists.",Data Scientist,Technical
911,Explain Gradient Descent.,"Gradient Descent is an iterative optimization algorithm used to find the minimum of a function. In machine learning, it's used to update the parameters of a model by moving in the direction opposite to the gradient of the loss function.",Data Scientist,Technical
912,What is cross-validation?,"Cross-validation is a resampling technique used to evaluate machine learning models on a limited data sample. The most common form is k-fold cross-validation, where the data is split into 'k' subsets, and the model is trained and tested 'k' times.",Data Scientist,Technical
913,What is the purpose of the activation function in a neural network?,The activation function introduces non-linearity into the output of a neuron. This allows the network to learn complex patterns and relationships in the data that a linear model cannot.,Data Scientist,Technical
914,What is the difference between bagging and boosting?,"Both are ensemble methods. Bagging (e.g., Random Forest) trains models in parallel on different subsets of data to reduce variance. Boosting (e.g., XGBoost) trains models sequentially, with each new model trying to correct the errors of the previous one, to reduce bias.",Data Scientist,Technical
915,What is regularization and why is it useful?,Regularization is a technique used to prevent overfitting by adding a penalty term to the loss function. L1 (Lasso) and L2 (Ridge) are common types. It discourages learning a more complex or flexible model.,Data Scientist,Technical
916,Explain how a ROC curve works.,A Receiver Operating Characteristic (ROC) curve is a graph showing the performance of a classification model at all classification thresholds. It plots the True Positive Rate (TPR) against the False Positive Rate (FPR). The area under the curve (AUC) is a measure of the model's overall performance.,Data Scientist,Technical
917,What is the difference between SQL and NoSQL databases?,"SQL databases are relational, use structured query language, and have a predefined schema. NoSQL databases are non-relational, have dynamic schemas for unstructured data, and are more flexible and scalable.",Data Scientist,Technical
918,How do you handle missing data?,"Methods for handling missing data include: deleting the rows/columns with missing values, imputing the missing values (e.g., with mean, median, or mode), or using a model-based approach to predict the values.",Data Scientist,Technical
919,What is feature engineering?,Feature engineering is the process of using domain knowledge to create new features from existing data. The goal is to improve the performance of machine learning models by providing them with more relevant information.,Data Scientist,Technical
920,What's the difference between a generative and a discriminative model?,"A discriminative model learns the decision boundary between classes (e.g., Logistic Regression). A generative model learns the distribution of individual classes and then uses that to make predictions (e.g., Naive Bayes).",Data Scientist,Technical
921,What is Principal Component Analysis (PCA)?,"PCA is a dimensionality reduction technique that transforms a large set of variables into a smaller one that still contains most of the information in the large set. It does this by finding a new set of orthogonal axes, called principal components.",Data Scientist,Technical
922,What are hyperparameters?,"Hyperparameters are parameters that are not learned from the data but are set prior to the commencement of the training process. Examples include the learning rate, the number of hidden layers in a neural network, or the 'k' in k-nearest neighbors.",Data Scientist,Technical
923,Explain the K-Means clustering algorithm.,K-Means is an unsupervised learning algorithm that aims to partition 'n' observations into 'k' clusters. It works by iteratively assigning each data point to the nearest mean (cluster centroid) and then recalculating the centroid.,Data Scientist,Technical
924,What is A/B testing?,"A/B testing is a randomized experiment with two variants, A and B. It is a way to compare two versions of a single variable, typically by testing a subject's response to variant A against variant B, and determining which of the two variants is more effective.",Data Scientist,Technical
925,What is the curse of dimensionality?,"The curse of dimensionality refers to various phenomena that arise when analyzing and organizing data in high-dimensional spaces. As the number of features or dimensions grows, the amount of data required to generalize accurately grows exponentially.",Data Scientist,Technical
926,What is Naive Bayes and why is it 'naive'?,"Naive Bayes is a probabilistic classification algorithm based on Bayes' theorem. It's called 'naive' because it makes a strong assumption that the features are conditionally independent of each other, given the class.",Data Scientist,Technical
927,What's the difference between a Random Forest and a Gradient Boosting Machine (GBM)?,"Random Forest builds many decision trees independently and averages their predictions to reduce variance. GBM builds trees sequentially, where each tree corrects the errors of the previous one, to reduce bias.",Data Scientist,Technical
928,How would you evaluate the performance of a regression model?,"Common metrics for regression models include Mean Absolute Error (MAE), Mean Squared Error (MSE), Root Mean Squared Error (RMSE), and R-squared (coefficient of determination).",Data Scientist,Technical
929,What is a stationary time series?,"A stationary time series is one whose statistical properties such as mean, variance, and autocorrelation are all constant over time. Many time series forecasting models assume stationarity.",Data Scientist,Technical
930,What is data leakage?,Data leakage is when information from outside the training dataset is used to create the model. This can lead to overly optimistic performance metrics that do not generalize to new data.,Data Scientist,Technical
931,Explain Support Vector Machines (SVM).,SVM is a supervised learning model that finds a hyperplane that best separates data points into classes. It aims to maximize the margin between the hyperplane and the nearest data points of any class (the support vectors).,Data Scientist,Technical
932,What is the difference between `iloc` and `loc` in Pandas?,"`loc` is label-based, which means that you have to specify rows and columns based on their row and column labels. `iloc` is integer position-based, so you have to specify rows and columns by their integer position values.",Data Scientist,Technical
933,What is an ensemble method?,An ensemble method combines the predictions of several base estimators built with a given learning algorithm in order to improve generalizability and robustness over a single estimator.,Data Scientist,Technical
934,What is Entropy in the context of Decision Trees?,"Entropy is a measure of impurity or disorder in a set of data. In a decision tree, it's used to calculate the information gain, which helps decide which feature to split on at each node.",Data Scientist,Technical
935,What is TF-IDF?,TF-IDF stands for Term Frequency-Inverse Document Frequency. It is a numerical statistic that is intended to reflect how important a word is to a document in a collection or corpus.,Data Scientist,Technical
